SelectedJetQA summary (SIM)
rKey: r04  R=0.4

pT=10-12  Njet1=112433  Njet2=112433  <pT1>=7.852597  <pT2>=0.129921
pT=12-14  Njet1=76957  Njet2=76957  <pT1>=8.348099  <pT2>=0.172030
pT=14-16  Njet1=47076  Njet2=47076  <pT1>=9.115092  <pT2>=0.225179
pT=16-18  Njet1=50632  Njet2=50632  <pT1>=10.036257  <pT2>=0.296860
pT=18-20  Njet1=123680  Njet2=123680  <pT1>=11.184780  <pT2>=0.380912
pT=20-22  Njet1=232934  Njet2=232934  <pT1>=12.226725  <pT2>=0.477898
pT=22-24  Njet1=191491  Njet2=191491  <pT1>=13.130790  <pT2>=0.602154
pT=24-26  Njet1=108815  Njet2=108815  <pT1>=14.355812  <pT2>=0.661767
pT=26-35  Njet1=126763  Njet2=126763  <pT1>=16.717526  <pT2>=0.950436
