SelectedJetQA summary (SIM)
rKey: r04  R=0.4

pT=10-12  Njet1=79523  Njet2=79523  <pT1>=7.834929  <pT2>=0.136023
pT=12-14  Njet1=53302  Njet2=53302  <pT1>=8.359107  <pT2>=0.177730
pT=14-16  Njet1=30034  Njet2=30034  <pT1>=9.144468  <pT2>=0.221993
pT=16-18  Njet1=21879  Njet2=21879  <pT1>=9.965667  <pT2>=0.319533
pT=18-20  Njet1=32614  Njet2=32614  <pT1>=11.108864  <pT2>=0.444179
pT=20-22  Njet1=53458  Njet2=53458  <pT1>=12.201253  <pT2>=0.503848
pT=22-24  Njet1=43466  Njet2=43466  <pT1>=13.000702  <pT2>=0.593632
pT=24-26  Njet1=24517  Njet2=24517  <pT1>=14.387787  <pT2>=0.706604
pT=26-35  Njet1=28612  Njet2=28612  <pT1>=16.785570  <pT2>=0.929730
