SelectedJetQA summary (SIM)
rKey: r02  R=0.2

pT=10-12  Njet1=44297  Njet2=44297  <pT1>=7.268536  <pT2>=0.137382
pT=12-14  Njet1=33017  Njet2=33017  <pT1>=7.553903  <pT2>=0.175077
pT=14-16  Njet1=21580  Njet2=21580  <pT1>=7.997395  <pT2>=0.199906
pT=16-18  Njet1=18429  Njet2=18429  <pT1>=8.480471  <pT2>=0.294269
pT=18-20  Njet1=30624  Njet2=30624  <pT1>=9.139804  <pT2>=0.435196
pT=20-22  Njet1=50769  Njet2=50769  <pT1>=9.817383  <pT2>=0.528173
pT=22-24  Njet1=42119  Njet2=42119  <pT1>=10.363577  <pT2>=0.585107
pT=24-26  Njet1=24644  Njet2=24644  <pT1>=11.396446  <pT2>=0.810882
pT=26-35  Njet1=29850  Njet2=29850  <pT1>=13.159596  <pT2>=1.062054
