SelectedJetQA summary (SIM)
rKey: r04  R=0.4

pT=10-12  Njet1=73259  Njet2=73259  <pT1>=7.850232  <pT2>=0.130249
pT=12-14  Njet1=49526  Njet2=49526  <pT1>=8.346051  <pT2>=0.173144
pT=14-16  Njet1=26938  Njet2=26938  <pT1>=9.120149  <pT2>=0.220532
pT=16-18  Njet1=14665  Njet2=14665  <pT1>=9.989335  <pT2>=0.291198
pT=18-20  Njet1=7715  Njet2=7715  <pT1>=10.937974  <pT2>=0.372634
pT=20-22  Njet1=4367  Njet2=4367  <pT1>=11.997571  <pT2>=0.449400
pT=22-24  Njet1=2422  Njet2=2422  <pT1>=13.060436  <pT2>=0.630322
pT=24-26  Njet1=1324  Njet2=1324  <pT1>=14.376505  <pT2>=0.580157
pT=26-35  Njet1=1590  Njet2=1590  <pT1>=16.753468  <pT2>=0.940887
