SelectedJetQA summary (SIM)
rKey: r04  R=0.4

pT=10-12  Njet1=98  Njet2=98  <pT1>=17.417929  <pT2>=0.531469
pT=12-14  Njet1=229  Njet2=229  <pT1>=16.291250  <pT2>=0.419978
pT=14-16  Njet1=1248  Njet2=1248  <pT1>=14.595633  <pT2>=0.494818
pT=16-18  Njet1=6138  Njet2=6138  <pT1>=13.552150  <pT2>=0.450249
pT=18-20  Njet1=24332  Njet2=24332  <pT1>=12.887588  <pT2>=0.505835
pT=20-22  Njet1=48797  Njet2=48797  <pT1>=12.569634  <pT2>=0.507871
pT=22-24  Njet1=40901  Njet2=40901  <pT1>=13.130062  <pT2>=0.580989
pT=24-26  Njet1=23112  Njet2=23112  <pT1>=14.256986  <pT2>=0.696483
pT=26-35  Njet1=26916  Njet2=26916  <pT1>=16.722841  <pT2>=0.934315
