SelectedJetQA summary (SIM)
rKey: r02  R=0.2

pT=10-12  Njet1=40799  Njet2=40799  <pT1>=7.266469  <pT2>=0.133256
pT=12-14  Njet1=30533  Njet2=30533  <pT1>=7.530486  <pT2>=0.168802
pT=14-16  Njet1=18954  Njet2=18954  <pT1>=7.966235  <pT2>=0.211218
pT=16-18  Njet1=11520  Njet2=11520  <pT1>=8.465837  <pT2>=0.286724
pT=18-20  Njet1=6553  Njet2=6553  <pT1>=9.039269  <pT2>=0.396104
pT=20-22  Njet1=3998  Njet2=3998  <pT1>=9.699730  <pT2>=0.495289
pT=22-24  Njet1=2329  Njet2=2329  <pT1>=10.460925  <pT2>=0.598894
pT=24-26  Njet1=1329  Njet2=1329  <pT1>=11.416619  <pT2>=0.750371
pT=26-35  Njet1=1664  Njet2=1664  <pT1>=13.078614  <pT2>=1.080694
