SelectedJetQA summary (SIM)
rKey: r02  R=0.2

pT=10-12  Njet1=116  Njet2=116  <pT1>=16.349973  <pT2>=0.854292
pT=12-14  Njet1=265  Njet2=265  <pT1>=14.073544  <pT2>=0.860711
pT=14-16  Njet1=1340  Njet2=1340  <pT1>=11.876599  <pT2>=0.531579
pT=16-18  Njet1=6109  Njet2=6109  <pT1>=10.929367  <pT2>=0.503979
pT=18-20  Njet1=23574  Njet2=23574  <pT1>=10.293338  <pT2>=0.522852
pT=20-22  Njet1=46489  Njet2=46489  <pT1>=10.054263  <pT2>=0.525476
pT=22-24  Njet1=39652  Njet2=39652  <pT1>=10.457749  <pT2>=0.597479
pT=24-26  Njet1=23233  Njet2=23233  <pT1>=11.234306  <pT2>=0.711495
pT=26-35  Njet1=28074  Njet2=28074  <pT1>=13.037024  <pT2>=1.063153
