SelectedJetQA summary (SIM)
rKey: r02  R=0.2

pT=10-12  Njet1=62990  Njet2=62990  <pT1>=7.262881  <pT2>=0.134988
pT=12-14  Njet1=48084  Njet2=48084  <pT1>=7.541152  <pT2>=0.167525
pT=14-16  Njet1=35274  Njet2=35274  <pT1>=7.967579  <pT2>=0.209021
pT=16-18  Njet1=45989  Njet2=45989  <pT1>=8.516912  <pT2>=0.285556
pT=18-20  Njet1=118328  Njet2=118328  <pT1>=9.195012  <pT2>=0.388257
pT=20-22  Njet1=221155  Njet2=221155  <pT1>=9.841032  <pT2>=0.517817
pT=22-24  Njet1=185819  Njet2=185819  <pT1>=10.471971  <pT2>=0.580563
pT=24-26  Njet1=109260  Njet2=109260  <pT1>=11.310293  <pT2>=0.774930
pT=26-35  Njet1=131889  Njet2=131889  <pT1>=13.049446  <pT2>=1.043736
